model,mode,task_id,task_type,mutation_type,detected,detection_reasons
qwen2.5-coder:7b,basic,T018,raster_clip,wrong_operation_family,1,operation_mismatch
qwen2.5-coder:7b,basic,T018,raster_clip,missing_required_layer_role,0,
qwen2.5-coder:7b,basic,T018,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name
qwen2.5-coder:7b,basic,T018,raster_clip,wrong_output_filename,1,output_filename_mismatch
qwen2.5-coder:7b,basic,T021,zonal_statistics,wrong_operation_family,1,operation_mismatch
qwen2.5-coder:7b,basic,T021,zonal_statistics,missing_required_layer_role,0,
qwen2.5-coder:7b,basic,T021,zonal_statistics,hallucinated_layer_alias,0,
qwen2.5-coder:7b,basic,T021,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
qwen2.5-coder:7b,basic,T022,zonal_statistics,wrong_operation_family,1,operation_mismatch
qwen2.5-coder:7b,basic,T022,zonal_statistics,missing_required_layer_role,0,
qwen2.5-coder:7b,basic,T022,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name
qwen2.5-coder:7b,basic,T022,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
qwen2.5:3b,basic,T007,overlay_intersection,wrong_operation_family,1,operation_mismatch
qwen2.5:3b,basic,T007,overlay_intersection,missing_required_layer_role,0,
qwen2.5:3b,basic,T007,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name
qwen2.5:3b,basic,T007,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
qwen2.5:3b,basic,T021,zonal_statistics,wrong_operation_family,1,operation_mismatch
qwen2.5:3b,basic,T021,zonal_statistics,missing_required_layer_role,0,
qwen2.5:3b,basic,T021,zonal_statistics,hallucinated_layer_alias,0,
qwen2.5:3b,basic,T021,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
qwen2.5:3b,basic,T022,zonal_statistics,wrong_operation_family,1,operation_mismatch
qwen2.5:3b,basic,T022,zonal_statistics,missing_required_layer_role,0,
qwen2.5:3b,basic,T022,zonal_statistics,hallucinated_layer_alias,0,
qwen2.5:3b,basic,T022,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T001,buffer_service_area,wrong_operation_family,1,operation_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T001,buffer_service_area,missing_required_layer_role,1,missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T001,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T001,buffer_service_area,wrong_output_filename,1,output_filename_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T001,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
deepseek-coder:6.7b,grounded,T002,buffer_service_area,wrong_operation_family,1,operation_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T002,buffer_service_area,missing_required_layer_role,1,missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T002,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T002,buffer_service_area,wrong_output_filename,1,output_filename_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T002,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
deepseek-coder:6.7b,grounded,T003,buffer_service_area,wrong_operation_family,1,operation_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T003,buffer_service_area,missing_required_layer_role,1,missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T003,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T003,buffer_service_area,wrong_output_filename,1,output_filename_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T003,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
deepseek-coder:6.7b,grounded,T004,buffer_service_area,wrong_operation_family,1,operation_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T004,buffer_service_area,missing_required_layer_role,1,missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T004,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T004,buffer_service_area,wrong_output_filename,1,output_filename_mismatch;unsafe_metric_crs
deepseek-coder:6.7b,grounded,T004,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
deepseek-coder:6.7b,grounded,T005,buffer_service_area,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T005,buffer_service_area,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T005,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T005,buffer_service_area,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T005,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
deepseek-coder:6.7b,grounded,T006,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T006,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T006,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T006,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T007,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T007,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T007,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T007,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T008,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T008,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
