model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,repair_policy,repair_applied,repair_notes,error_type,error_message
deepseek-coder:6.7b,basic,T001,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json'
deepseek-coder:6.7b,basic,T002,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T002_basic.json,1,1,1,116,1,1,0.096,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T002/T002_buffer_hospitals_2500m.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
deepseek-coder:6.7b,basic,T003,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T003_basic.json,1,1,1,1,1,1,0.047,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T003/T003_buffer_hospitals_dissolved.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
deepseek-coder:6.7b,basic,T004,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json'
deepseek-coder:6.7b,basic,T005,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T005_basic.json,1,1,1,116,1,1,0.041,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T005/T005_buffer_hospitals_area.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
deepseek-coder:6.7b,basic,T006,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T006_basic.json,1,1,1,1696,1,1,0.365,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T006/T006_flood_tract_overlay.gpkg,role_defaults,0,,,
deepseek-coder:6.7b,basic,T007,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T007_basic.json,1,1,1,1696,1,1,0.348,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T007/T007_flood_tract_overlay_area.gpkg,role_defaults,0,,,
deepseek-coder:6.7b,basic,T008,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json'
deepseek-coder:6.7b,basic,T009,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T009_basic.json,1,1,1,2498,1,1,0.393,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T009/T009_flood_summary_by_tract.gpkg,role_defaults,1,default_layer_roles:census_tracts,,
deepseek-coder:6.7b,basic,T010,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T010_basic.json,1,1,1,630,1,1,0.335,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T010/T010_high_flood_tracts.gpkg,role_defaults,1,"default_layer_roles:census_tracts,flood_zones",,
deepseek-coder:6.7b,basic,T011,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T011_basic.json,1,1,1,2498,1,1,0.134,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T011/T011_school_count_by_tract.gpkg,role_defaults,1,default_layer_roles:census_tracts,,
deepseek-coder:6.7b,basic,T012,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T012_basic.json,1,1,1,2498,1,1,0.129,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T012/T012_hospital_count_by_tract.gpkg,role_defaults,1,"default_layer_roles:census_tracts,hospital_points",,
